_
## adv: type x customer_type x data_type x del_flag
type	customer_type	data_type	del_flag	n	running	first_created	last_created
1001	10	10	0	6935	6935	2026-07-11 11:51:09	2026-09-14 15:24:56
102	1	10	0	3641	3641	2026-07-08 17:31:01	2026-09-13 18:00:02
1004	10	10	0	1622	1622	2026-07-16 17:03:29	2026-09-07 15:07:36
1002	10	10	0	390	390	2026-07-16 17:20:50	2026-09-08 16:32:05
102	1	10	1	89	89	2026-07-08 18:00:01	2026-08-31 14:48:25
1001	10	10	1	85	85	2026-07-17 10:28:38	2026-09-14 14:32:30
1003	10	10	0	10	10	2026-07-31 10:54:49	2026-08-04 16:04:11
100	1	10	0	8	8	2026-07-24 11:14:58	2026-09-04 18:00:03
100	10	10	0	5	5	2026-08-01 10:26:32	2026-08-01 10:26:32
102	1	95	0	2	2	2026-07-30 14:15:39	2026-07-30 16:34:28
1002	10	95	0	1	1	2026-08-01 11:24:31	2026-08-01 11:24:31
_
## adv: type x supplier x dy_agentId (alive)
type	supplier_id	supplier_name	suppliertype	pay_type	dy_agentId	n
1001	286	本地推-迪雾	NOAGENT	2	1	4970
102	285	本地推供应商	AGENT	2	1	3642
1001	293	本地推-央广	NOAGENT	2	1	1578
1004	294	巨量AD-央广	NOAGENT	2	1	901
1002	288	腾讯K4-山东易搜	NOAGENT	2	1	384
1004	291	巨量AD-珠海今日	NOAGENT	2	1	361
1004	295	巨量AD-亿点	NOAGENT	2	1	360
1001	302	本地推-意克	NOAGENT	2	1	186
1001	292	本地推-国鑫/众盟	NOAGENT	2	1	169
1001	297	本地推-杭州博晟	NOAGENT	2	1	27
1003	299	快手-铁磁	NOAGENT	2	1	9
100	298	薪火相承- 综合	AGENT	2	1	8
100	291	巨量AD-珠海今日	NOAGENT	2	1	5
1002	289	腾讯K4-微盟	NOAGENT	2	1	4
1001	305	本地推-奥帕特	NOAGENT	2	1	3
1002	304	腾讯-上海亦芯	NOAGENT	2	1	3
1001	300	本地推-云联抖动	NOAGENT	2	1	2
1003	290	快手-福建烈焰	NOAGENT	2	1	1
102	298	薪火相承- 综合	AGENT	2	1	1
_
## adv created per month x type (18m)
ym	type	n
2026-07	100	4
2026-07	102	2451
2026-07	1001	5882
2026-07	1002	153
2026-07	1003	1
2026-07	1004	1225
2026-08	100	7
2026-08	102	850
2026-08	1001	1111
2026-08	1002	91
2026-08	1003	9
2026-08	1004	347
2026-09	100	2
2026-09	102	431
2026-09	1001	27
2026-09	1002	147
2026-09	1004	50
_
## customer: types x customer_status x status x wallet x credit
types	customer_status	status	del_flag	wallet_status	credit_datatype	credit_limit_type	n
