menu_id	parent_id	order_num	menu_type	menu_name	path	component	perms	visible	status	is_frame
1534	1530	4	F	客户转账申请删除	#		digital:customertransfer:remove	0	0	1
1535	1530	5	F	客户转账申请导出	#		digital:customertransfer:export	0	0	1
1712	1536	0	F	备款调整详请		NULL	digital:operbalance:query	0	0	1
1537	1536	1	F	备款调整查询		NULL	digital:operbalance:list	0	0	1
1538	1536	2	F	备款调整申请		NULL	digital:operbalance:add	0	0	1
1539	1536	4	F	备款调整删除		NULL	digital:operbalance:remove	0	0	1
1491	1536	5	F	调整备款		NULL	digital:customer:insbalancebill	0	0	1
1946	1536	110	F	备款调整导出		NULL	digital:operbalance:export	0	0	1
1541	1540	0	F	调整账户充值详情		NULL	digital:accountrecharge:query	0	0	1
1713	1540	1	F	充值调整申请查询		NULL	digital:accountrecharge:list	0	0	1
1542	1540	2	F	调整账户充值申请		NULL	digital:accountrecharge:add	0	0	1
1543	1540	4	F	调整账户充值删除		NULL	digital:accountrecharge:remove	0	0	1
1544	1540	5	F	撤销账户充值		NULL	digital:adveraccountRecharge:revoke	0	0	1
1961	1540	5	F	调整充值标签		NULL	digital:adveraccountRecharge:edittag	0	0	1
1962	1540	5	F	调整充/退导出		NULL	digital:accountrecharge:export	0	0	1
1555	1547	1	F	发票详情		NULL	digital:invoice:query	0	0	1
1566	1547	1	F	发票列表		NULL	digital:invoice:list	0	0	1
1552	1547	2	F	申请开票		NULL	digital:invoice:add	0	0	1
1553	1547	3	F	确认开票		NULL	digital:invoice:edit	0	0	1
1554	1547	4	F	发票删除		NULL	digital:invoice:remove	0	0	1
1564	1547	5	F	发票导出		NULL	digital:invoice:export	0	0	1
1558	1557	1	F	返点调整查询		NULL	digital:operratio:list	0	0	1
1559	1557	2	F	返点调整申请		NULL	digital:operratio:add	0	0	1
1560	1557	4	F	返点调整删除		NULL	digital:operratio:remove	0	0	1
1107	1557	5	F	返点调整		NULL	digital:customer:updateRatio	0	0	1
1568	1567	10	C	客户管理	customer	tencent/customer/index	digital:customer:list	0	0	1
1569	1567	20	C	市场主体/公司	body	tencent/customer/body/index	digital:customersubject:list	0	0	1
1570	1567	30	C	店铺管理	shop	tencent/shop/index	digital:shop:list	0	0	1
1571	1567	40	C	广告账户	advertising	tencent/advertising/account/index	digital:advertisingAccount:list	0	0	1
1575	1567	100	C	账户消耗	consumption	tencent/consumption/index	digital:tencentaccountconsume:list	0	0	1
1574	1567	200	C	账户充值	recharge	tencent/customer/intermediary		0	0	1
1573	1567	210	C	转户管理	transfer	tencent/transfer/index		0	0	1
1572	1567	220	C	退币管理	coinreturn	tencent/coinreturn/index		0	0	1
1577	1567	400	M	我的	my	NULL		0	0	1
1583	1568	1	F	客户 详情	#		digital:customer:query	0	0	1
1592	1568	1	F	查看联系方式		NULL	tx:customer:phone	0	0	1
1714	1568	1	F	客户 查询		NULL	digital:customer:list	0	0	1
1584	1568	2	F	客户 新增	#		digital:customer:add	0	0	1
1585	1568	3	F	客户 修改	#		digital:customer:edit	0	0	1
1586	1568	4	F	客户 删除	#		digital:customer:remove	0	0	1
1587	1568	5	F	客户 导出	#		digital:customer:export	0	0	1
1593	1568	5	F	导入客户主体店铺		NULL	digital:customer:import	0	0	1
1594	1568	6	F	批量重置客户数据权限		NULL	digital:customer:restprice	0	0	1
1598	1569	1	F	 客户主体查询	#		digital:customersubject:query	0	0	1
1603	1569	1	F	查看联系方式		NULL	tx:customersubject:phone	0	0	1
1599	1569	2	F	 客户主体新增	#		digital:customersubject:add	0	0	1
1600	1569	3	F	 客户主体修改	#		digital:customersubject:edit	0	0	1
1601	1569	4	F	 客户主体删除	#		digital:customersubject:remove	0	0	1
1602	1569	5	F	 客户主体导出	#		digital:customersubject:export	0	0	1
1605	1570	1	F	 店铺查询	#		digital:shop:query	0	0	1
1606	1570	2	F	 店铺新增	#		digital:shop:add	0	0	1
1607	1570	3	F	 店铺修改	#		digital:shop:edit	0	0	1
1608	1570	4	F	 店铺删除	#		digital:shop:remove	0	0	1
1609	1570	5	F	 店铺导出	#		digital:shop:export	0	0	1
1612	1571	1	F	 广告账户查询	#		digital:advertisingAccount:query	0	0	1
1619	1571	1	F	广告账户导入		NULL	digital:advertisingAccount:import	0	0	1
1613	1571	2	F	 广告账户新增	#		digital:advertisingAccount:add	0	0	1
1614	1571	3	F	 广告账户修改	#		digital:advertisingAccount:edit	0	0	1
1615	1571	4	F	 广告账户删除	#		digital:advertisingAccount:remove	0	0	1
1616	1571	5	F	 广告账户导出	#		digital:advertisingAccount:export	0	0	1
1617	1571	7	F	申请退币		NULL	digital:coin:add	0	0	1
1618	1571	8	F	申请转户		NULL	digital:transferaccount:add	0	0	1
1627	1572	1	F	退币记录查询	#		digital:coin:list	0	0	1
1628	1572	2	F	 账户退币申请	#		digital:coin:add	0	0	1
1630	1572	4	F	退币记录删除(未确认)	#		digital:coin:remove	0	0	1
1632	1572	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1634	1573	1	F	转户记录查询	#		digital:transferaccount:list	0	0	1
1635	1573	2	F	账户转户申请	#		digital:transferaccount:add	0	0	1
1637	1573	4	F	转户记录删除(未确认)	#		digital:transferaccount:remove	0	0	1
1639	1573	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1641	1574	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
1642	1574	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1644	1574	4	F	充值记录删除(未确认)	#		digital:adveraccountRecharge:remove	0	0	1
1645	1574	5	F	媒介确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1648	1575	1	F	查询	#		\t digital:tencentaccountconsume:list	0	0	1
1649	1575	2	F	渠道消耗记录新增	#		digital:tencentaccountconsume:add	0	0	1
1650	1575	3	F	渠道消耗记录修改	#		digital:tencentaccountconsume:edit	0	0	1
1651	1575	4	F	渠道消耗记录删除	#		digital:tencentaccountconsume:remove	0	0	1
1652	1575	5	F	渠道消耗记录导出	#		digital:tencentaccountconsume:import	0	0	1
1653	1575	6	F	消耗列表导入		NULL	digital:tencentaccountconsume:import	0	0	1
1663	1577	100	C	现金收款	cashrecharge	kuaishou/customer/recharge		0	0	1
1667	1577	140	C	备款退现	refund	finance/refund/index		0	0	1
1662	1577	200	C	账户充值	recharge	tencent/customer/intermediary		0	0	1
1664	1577	210	C	账户转户	transfer	tencent/transfer/index		0	0	1
1665	1577	220	C	账户退币	coinreturn	tencent/coinreturn/index		0	0	1
1666	1577	300	C	待领取收款	receiveRecharge	kuaishou/customer/receiveRecharge	digital:receiveRecharge:list	0	0	1
1670	1662	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
